epoch,training_loss,validation_loss,training_accuracy,validation_accuracy
0,0.18289749267235095,0.18974681320055664,0.06696428571428571,0.07142857142857142
1,0.15880988906822965,0.16522189361076503,0.06919642857142858,0.07142857142857142
2,0.13734461745837273,0.14333109340386832,0.08370535714285714,0.08482142857142858
3,0.11878224935202744,0.12436389703518662,0.09375,0.08928571428571429
4,0.10312164003480202,0.1083250739520603,0.10379464285714286,0.09821428571428571
5,0.09017044634710152,0.09502560154522668,0.11495535714285714,0.10267857142857142
6,0.0796625512339055,0.08420166012554316,0.12276785714285714,0.11607142857142858
7,0.07122291932686144,0.07547718023450734,0.13058035714285715,0.10267857142857142
8,0.06451568632998819,0.06851526499078346,0.12723214285714285,0.11607142857142858
9,0.05923351746398116,0.06300709095826561,0.13392857142857142,0.12946428571428573
10,0.05508227085512691,0.058655528526242943,0.14174107142857142,0.13392857142857142
11,0.05181055942607306,0.055205626245019734,0.13950892857142858,0.14285714285714285
12,0.04925513412641005,0.05249304342989932,0.14174107142857142,0.13839285714285715
13,0.047255275608768896,0.05035434219705632,0.14285714285714285,0.14732142857142858
14,0.045691106527666205,0.04866764051641814,0.14955357142857142,0.16517857142857142
15,0.04447324339946296,0.047342251633181974,0.14285714285714285,0.16964285714285715
16,0.04351706503948034,0.04629106309941448,0.14732142857142858,0.16517857142857142
17,0.04276277050631154,0.045452515813631335,0.14508928571428573,0.15625
18,0.04216910708487688,0.04478443758570476,0.14174107142857142,0.15625
19,0.04170406229840195,0.044254180416895994,0.14397321428571427,0.14285714285714285
20,0.04133175201306554,0.04382359185818051,0.13504464285714285,0.15178571428571427
21,0.041038288548113,0.04347908541274349,0.13392857142857142,0.15625
22,0.04079969697052082,0.04319447459204318,0.13169642857142858,0.15625
23,0.04060862186758507,0.04296277062494347,0.13058035714285715,0.15625
24,0.040457071294265304,0.042776080800717056,0.12723214285714285,0.15178571428571427
25,0.0403324441121362,0.04262010754440352,0.13058035714285715,0.14732142857142858
26,0.040227510930398815,0.04248662534950155,0.1328125,0.14732142857142858
27,0.040140657225662894,0.042374601289858434,0.1328125,0.14732142857142858
28,0.040066684090761896,0.04227790318901362,0.13504464285714285,0.14285714285714285
29,0.04000412549356864,0.04219539775264998,0.13727678571428573,0.14285714285714285
30,0.03995053817400255,0.04212442323553722,0.13727678571428573,0.13839285714285715
31,0.039902868473893106,0.042060977035858364,0.13839285714285715,0.13392857142857142
32,0.039860036603298434,0.042003869700708386,0.13504464285714285,0.12946428571428573
33,0.03982165752842755,0.041953078820371734,0.13392857142857142,0.12946428571428573
34,0.039785349863919794,0.04190467645357781,0.13504464285714285,0.12946428571428573
35,0.039753010663363376,0.04186295424772246,0.13392857142857142,0.12946428571428573
36,0.039721925273044904,0.04182287243429445,0.13504464285714285,0.12946428571428573
37,0.03969236442157666,0.04178530403552886,0.13504464285714285,0.12946428571428573
38,0.039663865816284845,0.04174946899953236,0.13504464285714285,0.13392857142857142
39,0.03963614662490141,0.04171486679763977,0.13504464285714285,0.13392857142857142
40,0.03960940560979649,0.04168241957401308,0.1328125,0.13392857142857142
41,0.039583241216994136,0.04165127343015912,0.13169642857142858,0.13392857142857142
42,0.03955732705010468,0.04162046045841615,0.1328125,0.13392857142857142
43,0.03953175463403439,0.04159045937765197,0.13392857142857142,0.13392857142857142
44,0.03950639901800425,0.04156090256685975,0.13504464285714285,0.125
45,0.03948139185095035,0.041532785856378415,0.13504464285714285,0.125
46,0.039456476938428346,0.04150495317569095,0.13504464285714285,0.125
47,0.03943160013489354,0.0414770613220104,0.13616071428571427,0.125
48,0.03940678885048946,0.04144931661609906,0.13616071428571427,0.125
49,0.03938199977325,0.04142121284475277,0.13616071428571427,0.125
50,0.0393573228215588,0.04139408648615437,0.13727678571428573,0.125
51,0.03933267395806854,0.041367054127116595,0.13727678571428573,0.125
52,0.0393080498671405,0.04134019064137684,0.13616071428571427,0.125
53,0.03928343893390276,0.04131373285970879,0.13616071428571427,0.125
54,0.03925883176371039,0.04128716036981228,0.13616071428571427,0.125
55,0.039234214568133204,0.04126108970355101,0.13616071428571427,0.125
56,0.03920962234695121,0.04123437112972978,0.13616071428571427,0.125
57,0.03918502870143894,0.04120784853638927,0.13616071428571427,0.125
58,0.03916046292565635,0.041181091131716134,0.13727678571428573,0.125
59,0.0391358083871835,0.04115528075072132,0.13727678571428573,0.125
60,0.03911115299474911,0.04112936697714046,0.13727678571428573,0.125
61,0.039086439998633246,0.0411038556402355,0.13727678571428573,0.125
62,0.03906179641220633,0.04107760595769282,0.13727678571428573,0.125
63,0.039037112137920514,0.04105160846907614,0.13839285714285715,0.125
64,0.03901240834782319,0.04102565968063737,0.13839285714285715,0.125
65,0.03898767842957028,0.040999806331335154,0.13839285714285715,0.125
66,0.03896295565205889,0.040973794240034125,0.13839285714285715,0.125
67,0.03893822368178402,0.04094775834896304,0.13839285714285715,0.125
68,0.038913565551457086,0.04092123745528361,0.13839285714285715,0.125
69,0.03888871079894372,0.040895716603431734,0.13839285714285715,0.125
70,0.03886391623826295,0.04086977362767795,0.13839285714285715,0.125
71,0.03883900314205734,0.04084435582100905,0.13839285714285715,0.125
72,0.03881404679882483,0.040819068112056246,0.13839285714285715,0.125
73,0.03878917000834374,0.040793232026459555,0.13839285714285715,0.125
74,0.03876425194479177,0.040767514604668306,0.13839285714285715,0.125
75,0.03873924531718493,0.040742164240335006,0.13839285714285715,0.125
76,0.03871431666494323,0.040716269072017454,0.13839285714285715,0.125
77,0.03868938923630957,0.040690245505892134,0.13839285714285715,0.125
78,0.038664360270751374,0.04066465998467285,0.13839285714285715,0.125
79,0.03863938177866124,0.040638676487044514,0.13839285714285715,0.12946428571428573
80,0.038614382572586696,0.04061268773864452,0.13839285714285715,0.12946428571428573
81,0.03858940496786147,0.04058647998673454,0.13839285714285715,0.12946428571428573
82,0.03856437991302021,0.04056039775374252,0.13839285714285715,0.12946428571428573
83,0.03853930495229258,0.04053445130819622,0.13839285714285715,0.12946428571428573
84,0.03851419674463535,0.04050854503024532,0.13839285714285715,0.12946428571428573
85,0.03848908077758687,0.040482560844227064,0.13839285714285715,0.12946428571428573
86,0.03846395214782478,0.040456512150472586,0.13839285714285715,0.12946428571428573
87,0.038438770904198484,0.040430599887100745,0.13950892857142858,0.12946428571428573
88,0.03841362077013965,0.04040442013334616,0.13950892857142858,0.12946428571428573
89,0.03838849461105407,0.04037801436352179,0.13950892857142858,0.12946428571428573
90,0.03836333731255846,0.040351641489437366,0.140625,0.12946428571428573
91,0.038338037478572215,0.04032577763998551,0.140625,0.12946428571428573
92,0.03831260733633431,0.0403003644580777,0.140625,0.12946428571428573
93,0.03828736857651471,0.040273984809455064,0.140625,0.12946428571428573
94,0.03826206028245914,0.040247786487758,0.140625,0.12946428571428573
95,0.0382367674451199,0.04022141098604915,0.14174107142857142,0.12946428571428573
96,0.038211524631840424,0.04019470821110128,0.14174107142857142,0.12946428571428573
97,0.03818615243690775,0.0401684365669756,0.14285714285714285,0.12946428571428573
98,0.03816082159925686,0.04014188586235133,0.14285714285714285,0.12946428571428573
99,0.0381353876607155,0.040115620703265194,0.14285714285714285,0.12946428571428573
100,0.038109999096071434,0.04008907065564156,0.14174107142857142,0.12946428571428573
101,0.03808450285085022,0.04006281459872242,0.14174107142857142,0.12946428571428573
102,0.03805911364947153,0.040036054877957264,0.14174107142857142,0.12946428571428573
103,0.038033649293367444,0.04000946282747723,0.140625,0.12946428571428573
104,0.03800810850339221,0.039983024208607124,0.140625,0.12946428571428573
105,0.03798251308780407,0.03995666334458657,0.140625,0.12946428571428573
106,0.037956957854319684,0.03993005924282291,0.14174107142857142,0.12946428571428573
