epoch,training_loss,validation_loss,training_accuracy,validation_accuracy
0,0.05818728355881485,0.05855379599840677,0.08482142857142858,0.08035714285714286
1,0.05597521321427388,0.056468758323169534,0.09375,0.09821428571428571
2,0.05405031411123158,0.05466316891492012,0.09821428571428571,0.09375
3,0.052372523200580105,0.05309772798001099,0.10379464285714286,0.11160714285714286
4,0.05092316316818085,0.05175328753807005,0.10825892857142858,0.12053571428571429
5,0.04967505172588445,0.05060288228338696,0.1171875,0.10267857142857142
6,0.048597971501396275,0.04961703085216719,0.11495535714285714,0.10267857142857142
7,0.047677270458552634,0.04878069090807414,0.1171875,0.10714285714285714
8,0.046883556992476406,0.048065687521815705,0.12053571428571429,0.08928571428571429
9,0.04620989371880125,0.04746424753577484,0.12276785714285714,0.08482142857142858
10,0.04563308019027942,0.046954265876976084,0.12276785714285714,0.09375
11,0.045140559301619636,0.04652335800794017,0.11272321428571429,0.09375
12,0.044722565780577,0.04616169746553757,0.11160714285714286,0.09375
13,0.04436569805604184,0.045856559137148534,0.109375,0.09375
14,0.044061349928904724,0.045599531045460405,0.109375,0.09375
15,0.043800487640695364,0.04538206586563944,0.11160714285714286,0.08482142857142858
16,0.04357433878308991,0.04519613574895541,0.11272321428571429,0.08928571428571429
17,0.04338178508583072,0.04503989586640676,0.11383928571428571,0.08482142857142858
18,0.043214527287078905,0.04490604907508423,0.11830357142857142,0.08482142857142858
19,0.04306941563384988,0.04479145379001651,0.1171875,0.08482142857142858
20,0.04294284838155988,0.0446927474837702,0.11941964285714286,0.09375
21,0.042832169737036206,0.044607363210370184,0.11941964285714286,0.10267857142857142
22,0.04273460781332613,0.044532785664306025,0.12276785714285714,0.10267857142857142
23,0.042648425299381613,0.044467274508838854,0.12165178571428571,0.09821428571428571
24,0.042570240867918975,0.04440830236826245,0.11941964285714286,0.10714285714285714
25,0.042499557451195984,0.04435514760073741,0.11941964285714286,0.10714285714285714
26,0.04243617597685772,0.044307161345962014,0.12053571428571429,0.10714285714285714
27,0.042377682972209674,0.04426275423685998,0.12053571428571429,0.11160714285714286
28,0.04232316763743636,0.044221222203916395,0.11941964285714286,0.10714285714285714
29,0.04227318834802666,0.04418231738439533,0.12053571428571429,0.10714285714285714
30,0.04222598403244582,0.04414514745812882,0.12165178571428571,0.11160714285714286
31,0.042180766538062034,0.0441093228756553,0.12165178571428571,0.11160714285714286
32,0.04213740553880834,0.04407463176564103,0.12388392857142858,0.10714285714285714
33,0.042095940200475926,0.0440408218176173,0.12388392857142858,0.10267857142857142
34,0.04205578576611522,0.04400769372692984,0.125,0.10714285714285714
35,0.04201669948521639,0.04397512144235242,0.125,0.11160714285714286
36,0.04197893832611256,0.04394278490424574,0.125,0.11160714285714286
37,0.04194184472394058,0.04391076483705915,0.125,0.11607142857142858
