epoch,training_loss,validation_loss,training_accuracy,validation_accuracy
0,0.08118295155590276,0.0858935740288791,0.125,0.10267857142857142
1,0.07400198983446536,0.07844782016027756,0.1328125,0.10267857142857142
2,0.06808796118243804,0.07229224248451357,0.11941964285714286,0.11607142857142858
3,0.0632368516134907,0.06722162831369777,0.12946428571428573,0.12946428571428573
4,0.05925614072233454,0.06304132984168187,0.13950892857142858,0.13392857142857142
5,0.056023343336574424,0.059628942843831974,0.140625,0.14732142857142858
6,0.05337665283057839,0.05681938909274764,0.14285714285714285,0.125
7,0.051226045684335676,0.05452221380814489,0.140625,0.14285714285714285
8,0.04948148310843586,0.05264606333761289,0.13727678571428573,0.14732142857142858
9,0.048059754123790675,0.05110573257363866,0.13392857142857142,0.15625
10,0.046906305380966906,0.04984596089015725,0.14620535714285715,0.15625
11,0.04596241159419364,0.04880600745625469,0.14732142857142858,0.16071428571428573
12,0.04519295312519722,0.04795017294528523,0.14732142857142858,0.16071428571428573
13,0.04456115880548467,0.04724021918793856,0.14174107142857142,0.16964285714285715
14,0.04404980589189267,0.04665929838255332,0.140625,0.15625
15,0.04362852731765333,0.046175100909188464,0.13169642857142858,0.15178571428571427
16,0.04328318544346921,0.04577326728637382,0.12946428571428573,0.15178571428571427
17,0.042996820617811134,0.04543569093774515,0.12946428571428573,0.15178571428571427
18,0.042759222847101395,0.04515175172986068,0.13058035714285715,0.14732142857142858
19,0.04256287617416393,0.04491380085093428,0.12388392857142858,0.14285714285714285
20,0.04239774268916392,0.04471073792550886,0.12611607142857142,0.14285714285714285
21,0.042260605286316665,0.0445396699533146,0.12834821428571427,0.14285714285714285
22,0.04214651004519665,0.04439539446677459,0.12834821428571427,0.14285714285714285
23,0.04204901669880838,0.04427040628179132,0.12723214285714285,0.14732142857142858
24,0.04196450428785779,0.04416054668640771,0.12834821428571427,0.15178571428571427
25,0.04189139207982021,0.04406427683659397,0.12834821428571427,0.15178571428571427
26,0.04182869834460313,0.04398089883739748,0.12834821428571427,0.15625
