epoch,training_loss,validation_loss,training_accuracy,validation_accuracy
0,0.09390771200115641,0.09271347141543676,0.05803571428571429,0.07589285714285714
1,0.08850570417625304,0.08747766377766608,0.05803571428571429,0.07589285714285714
2,0.0834066159069576,0.08254665110656093,0.06808035714285714,0.08482142857142858
3,0.07865027896211711,0.07795867617987054,0.0859375,0.09375
4,0.07427101204229188,0.07374624835699553,0.08035714285714286,0.09375
5,0.0702794168414687,0.06991866448697018,0.08258928571428571,0.09375
6,0.06667599969396994,0.06647526108911316,0.08482142857142858,0.08035714285714286
7,0.0634588756153447,0.06341282045679293,0.07924107142857142,0.07589285714285714
8,0.06061977536286132,0.060721748345197904,0.08370535714285714,0.08035714285714286
9,0.05812802060854253,0.05837107607623001,0.08928571428571429,0.09375
10,0.05595591978543592,0.056332707846327455,0.1015625,0.09375
11,0.054081430786015336,0.05458383269712903,0.09933035714285714,0.11607142857142858
12,0.052470156525049286,0.05309016718238626,0.10825892857142858,0.11607142857142858
13,0.05109116209638903,0.051820871782380686,0.11941964285714286,0.10267857142857142
14,0.049916932447732945,0.05074847268668665,0.11607142857142858,0.09821428571428571
15,0.04892357166436729,0.04984898844776357,0.11830357142857142,0.09821428571428571
16,0.04807901323012366,0.04909141766532077,0.11941964285714286,0.08482142857142858
17,0.047370034346019885,0.048461896514969356,0.12053571428571429,0.08928571428571429
18,0.04676913360675996,0.0479342445703249,0.11049107142857142,0.09821428571428571
19,0.04626555480409435,0.04749723688337176,0.11049107142857142,0.08928571428571429
20,0.045843593760126346,0.04713555960607766,0.10714285714285714,0.09375
21,0.045484016799365264,0.04683146329688221,0.10825892857142858,0.08482142857142858
22,0.04517973962075878,0.046577656910435965,0.10602678571428571,0.08035714285714286
23,0.04492221303411935,0.046365800722483246,0.10491071428571429,0.08035714285714286
24,0.044703671090436416,0.04618841710337597,0.11049107142857142,0.07589285714285714
25,0.044516357374237966,0.04603835604811397,0.11160714285714286,0.08482142857142858
26,0.044355625923012724,0.04591103377170931,0.11160714285714286,0.09375
27,0.04421585929363475,0.04580143301547289,0.11383928571428571,0.10267857142857142
28,0.04409313721436041,0.04570599095746565,0.11495535714285714,0.09821428571428571
29,0.0439839203590368,0.04562165959716643,0.11383928571428571,0.10267857142857142
30,0.04388717423526389,0.04554699691955096,0.1171875,0.10714285714285714
31,0.04380031287456153,0.04547977088342704,0.11495535714285714,0.11160714285714286
32,0.04372090453301294,0.045418114627645056,0.11941964285714286,0.11160714285714286
33,0.043647596130054235,0.04536087858986619,0.12165178571428571,0.11160714285714286
34,0.04358012318995587,0.045307329721714876,0.125,0.10714285714285714
35,0.04351616882294619,0.045256321118801957,0.12388392857142858,0.10714285714285714
36,0.04345576498659455,0.04520744854730761,0.12388392857142858,0.10714285714285714
37,0.04339819174942198,0.04516019362462008,0.12276785714285714,0.10267857142857142
38,0.04334315505840079,0.04511410670051915,0.12276785714285714,0.10714285714285714
39,0.043290141864691094,0.04506881178743056,0.12165178571428571,0.11160714285714286
40,0.04323853576485819,0.04502414942733707,0.12276785714285714,0.11160714285714286
41,0.04318825923121271,0.04497983949663204,0.12276785714285714,0.11607142857142858
42,0.04313885192455819,0.044935938390756526,0.12276785714285714,0.11607142857142858
43,0.04309046754521229,0.04489202529302986,0.12388392857142858,0.11607142857142858
44,0.043042618050388545,0.044848427729656706,0.12276785714285714,0.11607142857142858
45,0.042995306241985005,0.044805028985608196,0.125,0.11607142857142858
46,0.04294858809974366,0.04476150431538677,0.125,0.11607142857142858
47,0.04290231490012107,0.04471792990761895,0.12388392857142858,0.11607142857142858
48,0.04285651020588729,0.04467395114486149,0.125,0.11607142857142858
49,0.04281084734133148,0.04463053838451298,0.125,0.11607142857142858
50,0.04276543347124132,0.04458733424145021,0.125,0.11607142857142858
51,0.04272036465900249,0.04454367437850526,0.125,0.11607142857142858
52,0.0426754887450262,0.04450022421713171,0.125,0.11607142857142858
53,0.04263086447920648,0.04445632206930087,0.125,0.11607142857142858
54,0.042586395107051755,0.04441268909411522,0.125,0.11607142857142858
55,0.04254209077086697,0.044369178452331993,0.12611607142857142,0.12053571428571429
56,0.04249795073959744,0.04432574004662275,0.12611607142857142,0.12053571428571429
57,0.042453987208246884,0.04428155631432195,0.125,0.12053571428571429
58,0.04241015303285833,0.04423758170352288,0.125,0.12053571428571429
59,0.042366451221952116,0.04419374809117761,0.125,0.12053571428571429
60,0.04232287923573568,0.044149968409993835,0.125,0.12053571428571429
61,0.04227943337582894,0.0441057552937398,0.125,0.12053571428571429
62,0.042236108014948995,0.04406225821278515,0.125,0.12053571428571429
63,0.0421929030457886,0.04401845735637856,0.12723214285714285,0.12053571428571429
64,0.04214981064518967,0.04397440692640377,0.12723214285714285,0.12053571428571429
65,0.04210683906014789,0.04393104702827276,0.12834821428571427,0.12053571428571429
66,0.042063975745520406,0.04388736623890122,0.12834821428571427,0.12053571428571429
67,0.04202123326694894,0.043844341861274456,0.12834821428571427,0.12053571428571429
68,0.041978590824509214,0.043800842363916924,0.12834821428571427,0.12053571428571429
69,0.041936057113202425,0.04375748185385826,0.12834821428571427,0.12053571428571429
70,0.04189363462936786,0.04371454865594954,0.12834821428571427,0.12053571428571429
